Datetime,Tweet Id,Text,Username
2023-03-08 08:36:36+00:00,1633386221643636736,@anothercohen @danielhoughton @iamharaldur I also apologize to everyone named Alex in this 🧵,elonmusk
2023-03-08 08:21:42+00:00,1633382469670936576,@BBCScienceNews 🥰,elonmusk
2023-03-08 08:19:26+00:00,1633381901795749888,@pmarca Or do calculus,elonmusk
2023-03-08 08:15:20+00:00,1633380869640421376,@BillyM2k @RealKidPoker This is a major area of focus,elonmusk
2023-03-08 07:46:22+00:00,1633373579931799554,@WowTerrifying Intense. Not like you have a lot of room to maneuver.,elonmusk
2023-03-08 05:24:12+00:00,1633337799846895618,@memejority 🤣,elonmusk
2023-03-08 00:22:24+00:00,1633261850199568385,@EvaVlaar !,elonmusk
2023-03-08 00:12:03+00:00,1633259245578665984,@MarioNawfal 👍🏻,elonmusk
2023-03-07 23:51:00+00:00,1633253950198624257,"@danielhoughton @anothercohen @iamharaldur I would like to apologize to Halli for my misunderstanding of his situation. It was based on things I was told that were untrue or, in some cases, true, but not meaningful.

He is considering remaining at Twitter.",elonmusk
2023-03-07 22:59:15+00:00,1633240925429288960,@DrJBhattacharya This is a serious attack on the Constitution by a federal agency.,elonmusk
2023-03-07 22:58:08+00:00,1633240643727138824,"@danielhoughton @anothercohen @iamharaldur Based on your comment, I just did a videocall with Halli to figure out what’s real vs what I was told. It’s a long story.

Better to talk to people than communicate via tweet.",elonmusk
2023-03-07 22:28:33+00:00,1633233200951730177,@charliekirk11 I keep forgetting which party he belongs to,elonmusk
2023-03-07 22:22:03+00:00,1633231562962780160,@ShellenbergerMD A shameful case of weaponization of a government agency for political purposes and suppression of the truth!,elonmusk
2023-03-07 21:54:38+00:00,1633224662590058496,@DavidSacks Extremely important,elonmusk
2023-03-07 21:53:51+00:00,1633224467781496832,@ihors3 Wow,elonmusk
2023-03-07 21:52:32+00:00,1633224137408741376,@KanekoaTheGreat Absolutely,elonmusk
2023-03-07 20:49:29+00:00,1633208268238757888,"@ZubyMusic This pervasive cultural pessimism is at the heart of societal dysfunction. 

Better to be optimistic and wrong, than pessimistic and right!",elonmusk
2023-03-07 18:49:05+00:00,1633177967210930178,Livestream interview in 15 mins at Morgan Stanley Conference https://t.co/Eo10tsAooS,elonmusk
2023-03-07 18:27:04+00:00,1633172430595436564,@MuskUniversity So many guys who got MeToo’ed went woke for the moral cloak,elonmusk
2023-03-07 17:34:27+00:00,1633159188787658757,"@anothercohen He has a prominent, active Twitter account and is wealthy. The reason he confronted me in public was to get a big payout. 

From what I’ve been told, he’s done almost no work for the past four months, middle-management or otherwise.

Despite his claims on Twitter that he did…",elonmusk
2023-03-07 17:20:21+00:00,1633155636996485120,@sk8shaun @anothercohen Correct,elonmusk
2023-03-07 16:44:40+00:00,1633146660833624064,@cb_doge It’s a hit piece,elonmusk
2023-03-07 16:41:57+00:00,1633145974444134400,@JMichaelWaller !,elonmusk
2023-03-07 08:46:12+00:00,1633026246937546752,@MarkChangizi Sweden’s steadfastness was incredible!,elonmusk
2023-03-07 08:25:57+00:00,1633021151197954048,"@greg_price11 @Liz_Cheney @AdamKinzinger @RepAdamSchiff Besides misleading the public, they withheld evidence for partisan political reasons that sent people to prison for far more serious crimes than they committed.

That is deeply wrong, legally and morally.",elonmusk
2023-03-07 08:06:06+00:00,1633016157568651264,"@anothercohen But was he fired? No, you can’t be fired if you weren’t working in the first place!",elonmusk
2023-03-07 08:01:22+00:00,1633014965425803266,@mattwridley Interesting,elonmusk
2023-03-07 07:54:16+00:00,1633013177691803648,"@FishFin81480487 @greg_price11 @BBCNews What say you, @BBCWorld? Your credibility is at stake.",elonmusk
2023-03-07 07:47:23+00:00,1633011448459964417,"@anothercohen The reality is that this guy (who is independently wealthy) did no actual work, claimed as his excuse that he had a disability that prevented him from typing, yet was simultaneously tweeting up a storm. 

Can’t say I have a lot of respect for that.",elonmusk
2023-03-07 07:30:24+00:00,1633007173222670336,@Cernovich Shocking indeed,elonmusk
2023-03-07 07:27:27+00:00,1633006429132173314,@greg_price11 Wow,elonmusk
2023-03-07 07:02:40+00:00,1633000192558628864,@greg_price11 This is crazy. The public was misled.,elonmusk
2023-03-07 06:58:47+00:00,1632999216447647747,@browserdotsys 🔥,elonmusk
2023-03-07 01:31:30+00:00,1632916854657396736,"@iamharaldur Would you say that you’re a people person?
https://t.co/kLD9NWHVIT",elonmusk
2023-03-07 01:27:38+00:00,1632915881499176960,@iamharaldur 🤣🤣,elonmusk
2023-03-07 01:26:38+00:00,1632915629765447681,"@iamharaldur - Level up from what design to what? Pics or it didn’t happen. 
- We haven’t hired design roles in 4 months
- What changes did you make to help with the youths?",elonmusk
2023-03-07 01:23:44+00:00,1632914900048818176,"@iamharaldur Which SaaS contract exactly?
Prioritization of what design projects?",elonmusk
2023-03-07 01:08:03+00:00,1632910953477210113,"@iamharaldur It’s approved, you go ahead",elonmusk
2023-03-07 01:04:04+00:00,1632909948568076288,@CartlandDavid 🤣🤣,elonmusk
2023-03-07 01:00:01+00:00,1632908928802750464,"@ZubyMusic Yeah, I find cis offensive (cue lots of people calling me cis lol)",elonmusk
2023-03-07 00:55:32+00:00,1632907799549325313,https://t.co/KcCn6hNebl,elonmusk
2023-03-07 00:54:59+00:00,1632907663259602945,@diana_dukic 🤣💯,elonmusk
2023-03-07 00:53:36+00:00,1632907314553585666,@Teslaconomics Alas she would never date me I’m not cool enough 😢,elonmusk
2023-03-07 00:51:15+00:00,1632906725312561153,"Be careful to not almost die from using this app too long on the 🚽 

I speak from experience https://t.co/p9RcAAYG89",elonmusk
2023-03-07 00:44:20+00:00,1632904983418130432,@ajtourville There are many others too,elonmusk
2023-03-07 00:41:47+00:00,1632904342566211585,@iamharaldur What work have you been doing?,elonmusk
2023-03-07 00:37:10+00:00,1632903178521038848,@BillFOXLA @GeorgeGascon Wasn’t Gascon the bad guy in Beauty &amp; the Beast?,elonmusk
2023-03-07 00:25:41+00:00,1632900291229110272,"This helpful video explains what happened at Twitter today
https://t.co/LCx4jRIiCk",elonmusk
2023-03-07 00:14:39+00:00,1632897514012651524,"@ZubyMusic Yeah, it’s bizarre",elonmusk
2023-03-07 00:09:03+00:00,1632896101974962177,@BillyM2k @TheSmarmyBum It’s pretty great!,elonmusk
2023-03-06 22:36:57+00:00,1632872927816302594,"@ryanhallyall It is a major priority to enable monetization by content creators! People need to make a living and prosper from their work.

We need to make it possible to upload the content in the first place. That’s getting there.",elonmusk
2023-03-06 22:08:42+00:00,1632865818563293190,"Accounts engaging in repeated, egregious weaponization of DMCA on Twitter or encouraging weaponization of DMCA will receive temporary suspensions. 

That said, reasonable media takedown requests are, of course, appropriate and will always be supported.",elonmusk
2023-03-06 20:38:06+00:00,1632843016749699073,@cb_doge @TrungTPhan I was robbed!,elonmusk
2023-03-06 20:25:15+00:00,1632839781997588488,"@micsolana If what they want are pretty pics &amp; heart emoji’s, I recommend Instagram. It’s great for that, please go there.

Instagram reminds me of Cloud Cuckoo Land. Everything seems super nice on the surface, but it’s actually hell. 

https://t.co/sVhNlJ8TjL",elonmusk
2023-03-06 20:14:06+00:00,1632836977274880000,"@BillyM2k @micsolana Yup, they can dish it out, but they can’t take it",elonmusk
2023-03-06 20:13:03+00:00,1632836710705909761,"@andrew_lilico @DavidDeutschOxf In a case like that, definitely.",elonmusk
2023-03-06 19:36:53+00:00,1632827612434165760,@DrJBhattacharya @MarkChangizi 💯,elonmusk
2023-03-06 19:36:31+00:00,1632827520193110019,@monitoringbias Interesting,elonmusk
2023-03-06 19:32:38+00:00,1632826539787145216,@greg_price11 !,elonmusk
2023-03-06 18:52:23+00:00,1632816412593905666,@dogeofficialceo @BillyM2k @LGElectronics We’re working on it!,elonmusk
2023-03-06 18:27:14+00:00,1632810081497513993,"@pmarca A small API change had massive ramifications. The code stack is extremely brittle for no good reason. 

Will ultimately need a complete rewrite.",elonmusk
2023-03-06 18:24:23+00:00,1632809364594606081,@DrJBhattacharya 🎯,elonmusk
2023-03-06 17:39:30+00:00,1632798070940344322,"@BillyM2k @dogeofficialceo True, my @LGElectronics screen great!",elonmusk
2023-03-06 17:37:18+00:00,1632797515417370625,@Rainmaker1973 @NightLights_AM Any account engaging in blackmail will be suspended. Yours will not.,elonmusk
2023-03-06 17:32:34+00:00,1632796324356579331,@bronwynwilliams Super concerning,elonmusk
2023-03-06 17:31:57+00:00,1632796171574886401,@TheRabbitHole84 New Twitter is the source of truth,elonmusk
2023-03-06 17:31:01+00:00,1632795933741129728,@jordanbpeterson Idiocracy is happening so fast,elonmusk
2023-03-06 17:28:54+00:00,1632795401030885378,@jordanbpeterson True,elonmusk
2023-03-06 17:23:22+00:00,1632794008060567552,@alx This platform is so brittle (sigh). Will be fixed shortly.,elonmusk
2023-03-06 17:22:15+00:00,1632793727788785664,@stillgray !!,elonmusk
2023-03-06 17:21:43+00:00,1632793594665881600,@ZubyMusic Civilization is going 🥜,elonmusk
2023-03-06 17:21:13+00:00,1632793469507780610,@ZubyMusic 🤣,elonmusk
2023-03-06 17:20:17+00:00,1632793235226599425,@BillFOXLA This is crazy!,elonmusk
2023-03-06 17:19:16+00:00,1632792979684327425,@isabelleboemeke True 😔,elonmusk
2023-03-06 17:17:36+00:00,1632792556864937985,@WallStreetSilv This is messed up and will not make a difference to climate!,elonmusk
2023-03-06 17:16:31+00:00,1632792287372517377,"@CollinRugg Good point. If an organization portrays itself as balanced, but is not, it should be labeled to inform the public.",elonmusk
2023-03-06 17:14:21+00:00,1632791740720488449,@DrJBhattacharya Exactly. Fauci egregiously betrayed the public trust.,elonmusk
2023-03-06 17:00:04+00:00,1632788147573497856,@FoxNews This is extremely unfair to anyone with XX chromosomes!,elonmusk
2023-03-06 11:36:09+00:00,1632706630927130627,"@Annie_DLV True, have to admit trolls are kinda fun",elonmusk
2023-03-06 10:10:43+00:00,1632685129498869763,"@Chesschick01 Exactly. 

At the same time, worth noting that the left is not being censored either. 

This is not a right wing takeover, but rather a centrist takeover.",elonmusk
2023-03-06 10:06:05+00:00,1632683965902356483,@teslaownersSV Insane snow!,elonmusk
2023-03-06 10:04:14+00:00,1632683497574871041,@teslaownersSV Exactly,elonmusk
2023-03-06 09:59:54+00:00,1632682409366781953,(real article from organization calling itself bbc),elonmusk
2023-03-06 09:57:26+00:00,1632681788941139972,Sorry for turning Twitter from nurturing paradise into place that has … trolls 🧌 https://t.co/HaWl1jPfOm,elonmusk
2023-03-06 08:40:37+00:00,1632662453950595072,@Rainmaker1973 A practical limit to digits of pi is how many are needed to divide the universe into Planck voxels,elonmusk
2023-03-06 08:36:59+00:00,1632661540645093377,@Rainmaker1973 This is arguably the most mind-blowing thing about “reality”,elonmusk
2023-03-06 08:34:42+00:00,1632660967006806016,@WallStreetSilv Especially accurately … must be a tiny scale,elonmusk
2023-03-06 07:54:05+00:00,1632650743659331584,@WallStreetSilv Can’t be an easy job weighing mice nuts,elonmusk
2023-03-06 07:27:49+00:00,1632644133868142592,@BillyM2k @BBCWorld Literally roflmao …,elonmusk
2023-03-06 07:26:54+00:00,1632643904548880384,@BillyM2k @CommunityNotes Major asset on the side of truth &amp; accuracy!,elonmusk
2023-03-06 07:24:12+00:00,1632643223456829440,@BillyM2k @olivia_p_walker @CommunityNotes 🤣💯,elonmusk
2023-03-06 03:05:50+00:00,1632578205000384520,@anammostarac 🥇,elonmusk
2023-03-06 02:51:51+00:00,1632574686851739648,@unusual_whales BI,elonmusk
2023-03-06 02:49:29+00:00,1632574090216103937,https://t.co/Qo6K6E1KkY,elonmusk
2023-03-05 23:35:58+00:00,1632525389863034882,@kimbal It is inspiring to think that humans did that,elonmusk
2023-03-05 23:35:15+00:00,1632525209503928322,@chicago_glenn The meme community has high standards!,elonmusk
2023-03-05 23:34:18+00:00,1632524972588695553,@ThePrimeagen As an attachment? How many chars? We are extending longform tweets to 10k soon.,elonmusk
2023-03-05 23:32:11+00:00,1632524437227716608,Add Fun to the FDA &amp; rename to FFDA,elonmusk
2023-03-05 23:30:06+00:00,1632523912893575168,@BillyM2k @POTUS What about fun? I say vote for more fun!,elonmusk
2023-03-05 22:56:26+00:00,1632515440692846593,@BBCNews !,elonmusk
2023-03-05 22:18:24+00:00,1632505870482300930,@dogeofficialceo @cb_doge 😂,elonmusk
